Accelerator_Pedal_value,Throttle_position_signal,Engine_speed,Engine_torque,Current_Gear,Vehicle_speed,Indication_of_brake_switch_ON(2)/OFF(1),Time(s)
0,6.6,668,19.9,1,0,2,503
0,6.6,668,20.3,1,0,2,504
0,6.6,667,20.3,1,0,2,505
0,6.6,669,19.9,1,0,2,506
0,6.6,668,20.3,1,0,2,507
0,6.6,668,19.9,1,0,2,508
0,6.6,666,20.3,1,0,2,509
0,6.6,667,20.3,1,0,2,510
0,6.6,667,20.3,1,0,2,511
0,6.6,667,20.3,1,0,2,512
0,6.6,665,20.3,1,0,2,513
0,6.6,666,20.3,1,0,2,514
0,6.6,668,20.3,1,0,2,515
0,6.6,666,20.3,1,0,2,516
0,6.6,666,20.3,1,0,2,517
0,6.6,666,20.7,1,0,2,518
0,6.6,668,20.3,1,0,2,519
0,6.6,668,20.7,1,0,2,520
0,6.6,668,20.7,1,0,2,521
0,6.6,668,20.7,1,0,2,522
0,6.6,669,20.7,1,0,2,523
0,6.6,666,20.7,1,0,2,524
0,6.6,668,20.7,1,0,2,525
0,6.6,667,20.7,1,0,2,526
0,6.6,668,20.7,1,0,2,527
0,6.6,668,20.7,1,0,2,528
0,6.6,668,20.7,1,0,2,529
0,6.6,668,20.7,1,0,2,530
0,6.6,670,20.7,1,0,2,531
0,6.6,670,20.7,1,0,2,532
0,6.6,669,20.7,1,0,2,533
0,6.6,669,20.7,1,0,2,534
0,6.6,671,20.7,1,0,2,535
0,6.6,669,20.7,1,0,2,536
0,6.6,669,20.7,1,0,2,537
0,6.6,668,20.7,1,0,2,538
0,6.6,667,20.7,1,0,2,539
0,6.6,669,20.7,1,0,2,540
0,6.6,669,20.7,1,0,2,541
0,6.6,668,20.7,1,0,2,542
0,12.2,973,31.3,1,0,1,543
0,17.4,1891,44.9,1,8,1,544
0,16,2165,39.5,1,13,1,545
0,17.4,2020,44.9,2,18,1,546
0,18.8,2275,46.5,2,22,1,547
0,19.7,2057,47.3,3,25,1,548
0,20.7,1880,47.7,3,29,1,549
0,20.7,1972,48,3,31,1,550
0,10.8,2123,27.3,3,33,1,551
0,8.9,1675,12.1,4,33,1,552
0,8,1562,5.1,4,32,2,553
0,7.5,1487,5.1,4,31,2,554
0,5.7,1286,4.7,4,29,1,555
0,8,1392,17.2,4,28,1,556
0,8.9,1430,21.5,4,28,1,557
0,9.4,1422,22.3,4,28,1,558
0,15,1649,40.2,4,29,1,559
0,6.6,1454,17.2,4,29,2,560
0,6.1,1202,10.2,4,29,1,561
0,5.7,1033,10.2,4,27,1,562
0,6.1,931,10.9,4,26,2,563
0,5.7,887,11.3,4,25,2,564
0,6.1,863,11.7,4,24,1,565
0,6.6,937,12.5,3,23,1,566
0,8.5,1363,18.8,3,22,1,567
0,16.5,1722,39.5,3,23,1,568
0,13.6,1743,35.2,3,25,1,569
0,8.5,1628,14.8,3,26,1,570
0,18.3,1957,42.2,3,27,1,571
0,46.5,2132,53.9,3,30,1,572
0,8.5,2083,18.8,3,31,2,573
0,10.4,1452,16,4,28,2,574
0,7.5,1132,13.7,4,23,2,575
0,7.1,1035,14.5,3,18,2,576
0,8.9,1135,19.9,3,17,1,577
0,17.9,1792,44.9,3,18,1,578
0,8.5,1469,23.8,3,20,2,579
0,7.1,1268,16,3,19,2,580
0,7.1,1071,17.6,3,16,2,581
0,7.1,966,18.8,3,14,2,582
0,7.1,890,20.7,3,10,2,583
0,7.1,847,21.1,3,8,2,584
0,6.6,842,19.1,3,7,2,585
0,6.6,826,17.2,1,5,1,586
0,10.4,1155,29.7,1,6,1,587
0,13.6,1754,37.9,1,9,1,588
0,13.2,2006,31.6,1,13,1,589
0,13.6,1780,36.7,2,16,1,590
0,9.9,1837,24.6,2,18,1,591
0,8,1404,17.6,3,18,1,592
0,11.3,1440,30.9,3,19,1,593
0,7.5,1375,21.1,3,20,2,594
0,7.1,1220,14.8,3,18,1,595
0,8.9,1204,18.4,3,18,1,596
0,15.5,1654,41.4,3,19,1,597
0,8.9,1529,28.1,3,21,1,598
0,7.5,1409,16,3,21,1,599
0,9.9,1483,25,3,21,1,600
0,11.3,1549,28.9,3,22,1,601
0,11.3,1536,34.4,3,24,1,602
0,11.3,1663,27.7,3,25,1,603
0,17.4,1995,44.5,3,27,1,604
0,8.5,1869,20.3,3,28,1,605
0,16,2020,36.3,3,29,1,606
0,11.8,2099,30.5,3,31,1,607
0,18.3,1888,39.8,4,32,1,608
0,18.3,1993,46.5,4,34,1,609
0,7.5,1715,18.8,4,35,1,610
0,12.2,1734,27,4,35,1,611
0,8.9,1751,24.2,4,36,1,612
0,5.7,1554,5.5,4,35,1,613
0,7.1,1590,0,4,33,1,614
0,16.9,1691,39.1,4,33,1,615
0,56.4,1745,55.1,4,35,1,616
0,100,1841,57.8,4,38,1,617
0,100,1983,58.6,4,41,1,618
0,100,2130,56.6,4,44,1,619
0,100,2274,57,4,47,1,620
0,100,2415,59.4,4,50,1,621
0,100,2556,60.2,4,53,1,622
0,46.5,2674,53.5,4,56,1,623
0,26.8,2235,50,5,57,1,624
0,7.1,1984,16.8,5,58,2,625
0,12.2,1978,20.3,5,57,1,626
0,16,2021,37.5,5,57,2,627
0,6.6,1901,4.7,5,56,2,628
0,9.9,1873,0,5,54,1,629
0,6.6,1808,12.1,5,53,2,630
0,7.1,1740,1.2,5,51,1,631
0,12.2,1766,22.3,5,50,1,632
0,7.5,1734,19.9,5,50,2,633
0,6.6,1592,2,5,48,1,634
0,15.5,1696,29.3,5,47,1,635
0,14.1,1682,30.1,5,47,1,636
0,6.6,1578,3.1,5,46,1,637
0,16,1679,35.5,5,46,1,638
0,52.6,1673,54.3,5,47,1,639
0,8,1627,18.8,5,47,1,640
0,18.8,1710,36.7,5,47,1,641
0,32.4,1696,39.1,5,48,2,642
0,6.1,1565,4.7,5,46,1,643
0,10.8,1574,12.9,5,45,1,644
0,14.1,1621,40.2,5,45,1,645
0,6.6,1508,13.7,5,44,1,646
0,12.7,1588,29.3,5,43,1,647
0,5.7,1446,12.9,5,42,2,648
0,7.1,1376,10.9,5,40,1,649
0,17.4,1550,42.6,5,40,1,650
0,27.7,1470,47.7,5,41,1,651
0,10.8,1568,31.3,5,41,1,652
0,10.8,1516,26.6,5,41,1,653
0,9.9,1548,29.3,5,41,1,654
0,5.7,1395,12.5,5,40,1,655
0,10.4,1435,21.5,5,40,1,656
0,27.7,1522,46.1,5,40,1,657
0,85.5,1485,55.1,5,42,1,658
0,19.3,1653,43.4,5,43,1,659
0,23,1637,35.9,5,44,1,660
0,5.7,1380,3.9,5,44,1,661
0,11.3,1530,26.6,5,43,1,662
0,7.1,1472,16,5,42,1,663
0,16.9,1607,41.8,5,43,1,664
0,6.6,1488,18,5,43,2,665
0,5.7,1320,2,5,41,2,666
0,5.2,1288,0,5,36,2,667
0,6.1,1437,7.4,4,30,2,668
0,6.6,1115,10.5,4,25,2,669
0,6.1,928,12.9,3,20,2,670
0,7.1,1057,15.2,3,17,2,671
0,7.1,957,16.8,3,14,2,672
0,7.5,864,21.5,3,11,2,673
0,7.1,826,21.9,3,8,2,674
0,7.1,811,19.9,1,5,2,675
0,7.1,779,21.5,1,3,2,676
0,6.6,751,20.3,1,0,2,677
0,6.6,677,21.1,1,0,2,678
0,6.6,672,21.1,1,0,2,679
0,6.6,669,21.1,1,0,2,680
0,6.6,672,21.1,1,0,2,681
0,6.6,672,21.1,1,0,2,682
0,6.6,669,21.1,1,0,2,683
0,6.6,670,21.1,1,0,2,684
0,6.6,673,20.7,1,0,2,685
0,6.6,671,21.1,1,0,2,686
0,6.6,672,20.7,1,0,2,687
0,6.6,670,20.7,1,0,2,688
0,6.6,670,21.1,1,0,2,689
0,6.6,672,20.7,1,0,2,690
0,6.6,670,20.7,1,0,2,691
0,6.6,671,20.7,1,0,2,692
0,6.6,671,20.7,1,0,2,693
0,6.6,669,20.7,1,0,2,694
0,6.6,671,20.7,1,0,2,695
0,6.6,672,20.3,1,0,2,696
0,6.6,669,20.7,1,0,2,697
0,6.6,671,20.3,1,0,2,698
0,6.6,673,20.3,1,0,2,699
0,6.6,671,20.3,1,0,2,700
0,6.6,672,20.3,1,0,2,701
0,6.6,672,20.3,1,0,2,702
0,6.6,673,19.9,1,0,2,703
0,6.1,671,19.9,1,0,2,704
0,6.1,673,19.9,1,0,2,705
0,6.1,673,19.9,1,0,2,706
0,6.6,674,19.5,1,0,2,707
0,6.1,669,19.9,1,0,2,708
0,6.1,672,19.5,1,0,2,709
0,6.1,672,19.5,1,0,2,710
0,6.1,670,19.5,1,0,2,711
0,6.1,673,19.5,1,0,2,712
0,6.1,671,19.5,1,0,2,713
0,6.1,667,19.5,1,0,2,714
0,6.1,667,19.5,1,0,2,715
0,6.1,673,19.1,1,0,2,716
0,6.1,668,19.5,1,0,2,717
0,6.1,671,19.5,1,0,2,718
0,6.6,668,19.5,1,0,2,719
0,6.1,666,19.5,1,0,2,720
0,6.1,669,19.5,1,0,2,721
0,6.6,668,19.5,1,0,2,722
0,6.6,669,19.5,1,0,2,723
0,6.6,670,19.5,1,0,2,724
0,6.1,697,18.8,1,0,1,725
0,8.9,975,27.7,1,1,1,726
0,8.5,1211,27,1,5,1,727
0,13.2,1522,36.3,1,8,1,728
0,13.6,1951,34.8,1,11,1,729
0,16,1875,41.4,2,15,1,730
0,14.1,1942,37.9,2,18,1,731
0,6.1,1721,14.1,2,19,1,732
0,7.5,1233,14.5,3,19,1,733
0,7.1,1192,13.3,3,18,2,734
0,7.1,1112,13.3,3,17,2,735
0,7.1,1005,16,3,14,2,736
0,7.5,907,20.3,3,11,2,737
0,7.1,845,20.3,3,8,2,738
0,6.6,836,16.8,1,6,2,739
0,7.1,775,19.1,1,4,2,740
0,7.1,775,19.9,1,2,2,741
0,6.6,755,19.1,1,0,2,742
0,6.6,680,19.9,1,0,2,743
0,6.6,670,19.9,1,0,2,744
0,6.6,691,20.3,1,2,2,745
0,8,849,23.4,1,3,1,746
0,9.4,1234,30.1,1,5,1,747
0,14.1,1624,37.9,1,9,1,748
0,15.5,2113,38.7,1,13,1,749
0,10.4,1781,28.9,2,16,1,750
0,7.1,1562,14.1,2,16,1,751
0,8.5,1570,18.4,2,16,1,752
0,12.7,1683,30.1,2,16,1,753
0,14.6,1812,39.8,2,19,1,754
0,6.6,1825,14.1,2,20,2,755
0,7.5,1250,15.6,3,18,2,756
0,7.5,1065,18,3,15,2,757
0,7.1,979,18,3,14,1,758
0,7.5,962,20.3,3,13,1,759
0,6.6,955,19.9,3,12,2,760
0,8.5,904,22.3,3,11,1,761
0,9.9,1401,31.3,3,13,1,762
0,7.1,984,19.9,3,12,2,763
0,7.1,879,20.3,3,9,2,764
0,7.1,837,19.5,1,5,2,765
0,7.1,795,19.5,1,3,2,766
0,7.1,769,19.5,1,2,2,767
0,7.1,761,19.5,1,0,2,768
0,6.6,697,19.1,1,0,2,769
0,6.6,668,19.5,1,0,2,770
0,6.6,669,19.9,1,0,2,771
0,6.6,667,19.9,1,0,2,772
0,6.6,669,19.9,1,0,2,773
0,6.6,669,19.9,1,0,2,774
0,6.6,668,19.9,1,0,2,775
0,6.6,667,19.9,1,0,2,776
0,6.6,667,19.9,1,0,2,777
0,6.6,669,19.9,1,0,2,778
0,6.6,668,19.9,1,0,2,779
0,6.6,667,19.9,1,0,2,780
0,6.6,666,19.9,1,0,2,781
0,6.6,668,19.9,1,0,2,782
0,6.6,668,19.9,1,0,2,783
0,6.6,668,20.3,1,0,2,784
0,6.6,668,19.9,1,0,2,785
0,6.6,669,19.9,1,0,2,786
0,6.6,668,19.9,1,0,2,787
0,6.6,667,19.9,1,0,2,788
0,6.6,667,19.9,1,0,2,789
0,6.6,671,19.9,1,0,2,790
0,6.6,667,19.9,1,0,2,791
0,6.6,668,20.3,1,0,2,792
0,6.6,666,20.3,1,0,2,793
0,6.6,670,19.9,1,0,2,794
0,6.6,667,20.3,1,0,2,795
0,6.6,670,19.9,1,0,2,796
0,6.6,666,20.3,1,0,2,797
0,6.6,668,19.9,1,0,2,798
0,6.6,669,19.9,1,0,2,799
0,6.6,667,20.3,1,0,2,800
0,6.6,669,19.9,1,0,2,801
0,6.6,667,20.3,1,0,2,802
0,6.6,671,19.9,1,0,2,803
0,6.6,668,20.3,1,0,2,804
0,6.6,667,20.3,1,0,2,805
0,6.6,669,19.9,1,0,2,806
0,6.6,669,20.3,1,0,2,807
0,6.6,670,20.3,1,0,2,808
0,6.6,670,19.9,1,0,2,809
0,6.6,668,19.9,1,0,2,810
0,6.6,670,19.9,1,0,2,811
0,6.6,668,20.3,1,0,2,812
0,6.6,670,20.3,1,0,2,813
0,6.6,670,19.9,1,0,2,814
0,6.6,670,19.9,1,0,2,815
0,6.6,669,19.9,1,0,2,816
0,7.5,730,21.5,1,0,1,817
0,10.8,1253,33.6,1,3,1,818
0,12.7,1485,35.5,1,7,1,819
0,13.6,1921,35.5,1,11,1,820
0,13.6,1791,34.8,2,14,1,821
0,7.1,1585,19.5,2,16,1,822
0,7.5,1505,16,2,15,1,823
0,8.5,1446,17.2,2,15,1,824
0,11.8,1587,28.1,2,15,1,825
0,11.8,1714,33.2,2,17,1,826
0,13.6,1741,32,2,18,1,827
0,12.2,1482,35.5,3,20,1,828
0,7.1,1353,15.2,3,20,1,829
0,7.5,1299,14.8,3,20,1,830
0,10.8,1445,27.7,3,20,1,831
0,7.1,1361,17.2,3,20,1,832
0,6.6,1217,11.7,3,20,2,833
0,6.6,1118,12.1,3,18,2,834
0,6.6,1030,14.1,3,15,2,835
0,7.1,916,18.8,3,12,2,836
0,7.1,845,19.5,3,9,2,837
0,6.6,836,17.2,3,7,2,838
0,6.6,794,15.2,1,5,2,839
0,7.1,761,18.4,1,3,2,840
0,7.1,776,19.1,1,0,2,841
0,6.6,704,19.1,1,0,2,842
0,6.6,666,19.5,1,0,2,843
0,6.6,671,19.5,1,0,2,844
0,6.6,667,19.5,1,0,2,845
0,6.6,667,19.9,1,0,2,846
0,6.6,667,19.9,1,0,2,847
0,6.6,665,19.9,1,0,2,848
0,6.6,666,19.9,1,0,2,849
0,6.6,666,19.9,1,0,2,850
0,6.6,666,19.9,1,0,2,851
0,6.1,665,19.1,0,0,2,852
0,5.7,678,16,0,0,2,853
0,5.7,671,16.8,0,0,2,854
0,6.1,666,16.8,0,0,2,855
0,6.1,673,16.4,0,0,2,856
0,6.1,669,16.8,0,0,2,857
0,6.1,669,16.4,0,0,2,858
0,6.1,668,16.8,0,0,2,859
0,6.1,671,16.4,0,0,2,860
0,6.1,669,16.4,0,0,2,861
0,6.1,667,16.8,0,0,2,862
0,6.1,665,16.8,0,0,2,863
0,6.1,669,16.4,0,0,2,864
0,6.1,670,16.4,0,0,2,865
0,6.1,669,16.8,0,0,2,866
0,6.1,666,16.8,0,0,2,867
0,6.1,668,16.4,0,0,2,868
0,6.1,670,16.4,0,0,2,869
0,6.1,668,16.8,0,0,2,870
0,6.1,667,16.8,0,0,2,871
0,6.1,669,16.4,0,0,2,872
0,6.1,668,16.4,0,0,2,873
0,6.1,669,16.4,0,0,2,874
0,6.1,667,16.8,0,0,2,875
0,6.1,667,16.4,0,0,2,876
0,6.1,669,16.4,0,0,2,877
0,6.1,670,16.4,0,0,2,878
0,6.1,669,16.4,0,0,2,879
0,6.1,665,16.8,0,0,2,880
0,6.1,671,16.4,0,0,2,881
0,6.1,669,16.4,0,0,2,882
0,6.1,668,16.4,0,0,2,883
0,6.1,668,16.4,0,0,2,884
0,6.1,671,16.4,0,0,2,885
0,6.1,670,16.4,0,0,2,886
0,6.1,669,16.4,0,0,2,887
0,6.1,668,16.8,0,0,2,888
0,6.1,669,16.4,0,0,2,889
0,6.1,669,16.4,0,0,2,890
0,6.1,671,16.4,0,0,2,891
0,6.1,665,16.8,0,0,2,892
0,6.1,670,16.4,0,0,2,893
0,6.1,671,16.4,0,0,2,894
0,6.1,671,16.4,0,0,2,895
0,6.1,667,16.4,0,0,2,896
0,6.1,668,16.4,0,0,2,897
0,6.1,665,16.8,0,0,2,898
0,6.1,670,16.4,0,0,2,899
0,6.1,670,16.4,0,0,2,900
0,6.1,671,16.4,0,0,2,901
0,6.1,674,16,0,0,2,902
0,6.1,663,16.8,0,0,2,903
0,6.1,669,16.4,0,0,2,904
0,6.1,674,16,0,0,2,905
0,6.1,666,16.4,0,0,2,906
0,6.1,668,16.4,0,0,2,907
0,6.1,673,16.4,0,0,2,908
0,6.1,667,16.4,0,0,2,909
0,6.1,669,16.4,0,0,2,910
0,6.1,668,16.4,0,0,2,911
0,6.1,668,16.4,0,0,2,912
0,6.1,671,16.4,0,0,2,913
0,6.1,665,16.8,0,0,2,914
0,6.1,670,16.4,0,0,2,915
0,6.1,671,16.4,0,0,2,916
0,6.1,663,16.8,0,0,2,917
0,6.1,672,16.4,0,0,2,918
0,6.1,662,16.8,0,0,2,919
0,6.1,673,16.4,0,0,2,920
0,6.1,667,16.8,0,0,2,921
0,6.1,670,16.4,0,0,2,922
0,6.1,671,16.4,0,0,2,923
0,6.1,664,16.8,0,0,2,924
0,6.1,671,16.4,0,0,2,925
0,6.1,665,16.8,0,0,2,926
0,6.1,671,16.4,0,0,2,927
0,6.1,667,16.8,0,0,2,928
0,6.1,670,16.4,0,0,2,929
0,6.1,672,16.4,0,0,2,930
0,6.1,666,16.8,0,0,2,931
0,6.1,666,16.8,0,0,2,932
0,6.1,671,16.4,0,0,2,933
0,6.1,665,16.8,0,0,2,934
0,6.1,671,16.4,0,0,2,935
0,6.1,671,16.4,0,0,2,936
0,6.1,669,16.4,0,0,2,937
0,6.1,666,16.8,0,0,2,938
0,6.1,668,16.4,0,0,2,939
0,6.1,667,16.8,0,0,2,940
0,6.1,666,16.4,0,0,2,941
0,6.1,669,16.4,0,0,2,942
0,6.1,669,16.4,0,0,2,943
0,6.1,669,16.4,1,0,2,944
0,6.6,666,18,1,0,2,945
0,6.6,670,19.9,1,0,2,946
0,6.6,669,19.9,1,0,2,947
0,6.6,665,20.3,1,0,2,948
0,6.6,668,20.3,1,0,1,949
0,12.7,1096,32.8,1,0,1,950
0,11.8,1677,35.2,1,7,1,951
0,12.2,1782,29.7,1,10,1,952
0,16.9,2057,42.6,1,14,1,953
0,18.8,2061,46.5,2,18,1,954
0,18.8,2249,45.7,2,22,1,955
0,14.1,1894,39.1,3,24,1,956
0,7.5,1618,16.4,3,25,1,957
0,13.6,1724,30.9,3,24,1,958
0,16,1849,42.6,3,26,1,959
0,9.9,1704,27,3,26,1,960
0,8,1678,17.2,3,26,1,961
0,7.1,1571,11.7,3,25,1,962
0,11.3,1685,24.6,3,25,1,963
0,11.8,1837,32.8,3,26,1,964
0,7.1,1667,12.1,3,26,1,965
0,8.5,1594,12.9,3,26,1,966
0,13.6,1859,34,3,26,1,967
0,7.5,1726,16,3,27,2,968
0,7.1,1439,10.9,3,23,2,969
0,6.6,1247,11.7,3,20,2,970
0,7.5,1181,14.8,3,19,1,971
0,6.6,1212,17.2,3,18,1,972
0,8.9,1167,19.5,3,17,1,973
0,16,1681,41.8,3,19,1,974
0,12.2,1623,35.9,3,22,1,975
0,9.9,1564,24.2,3,23,1,976
0,6.6,1492,14.8,3,23,1,977
0,6.1,1290,10.2,3,22,2,978
0,6.6,1187,10.9,3,20,2,979
0,6.6,1112,11.7,3,19,1,980
0,8.9,1194,19.9,3,18,1,981
0,17.9,1657,43,3,19,1,982
0,12.7,1651,36.3,3,22,1,983
0,6.6,1419,12.5,3,22,2,984
0,6.6,1215,11.3,3,20,1,985
0,10.4,1377,24.6,3,20,1,986
0,13.6,1554,35.5,3,21,1,987
0,12.2,1505,37.9,3,23,1,988
0,10.8,1533,28.5,3,24,1,989
0,14.6,1620,38.3,3,25,1,990
0,18.8,1754,46.5,3,27,1,991
0,20.2,1904,47.7,3,30,1,992
0,19.3,2038,47.3,3,32,1,993
0,17.9,1989,44.9,3,33,1,994
0,21.1,1701,48,4,35,1,995
0,21.6,1814,48.4,4,35,1,996
0,19.7,2116,48.8,4,36,1,997
0,8.5,1788,21.9,4,35,1,998
0,15,1841,35.2,4,34,1,999
0,33.4,2101,51.6,4,34,1,1000
0,96.7,2312,57,4,36,1,1001
0,100,2354,58.6,4,37,1,1002
0,100,2367,58.6,4,39,1,1003
0,87.3,2399,59,4,41,1,1004
0,51.7,2376,55.9,4,42,1,1005
0,20.7,2305,49.2,4,42,1,1006
0,9.9,2108,25.8,4,42,1,1007
0,16.5,2121,37.1,4,41,1,1008
0,21.1,2217,49.6,4,41,1,1009
0,24.4,2266,52.3,4,41,1,1010
0,18.3,2235,46.5,4,41,1,1011
0,17.4,2216,44.9,4,41,1,1012
0,19.7,2244,48,4,42,1,1013
0,19.7,2252,48,4,42,1,1014
0,19.7,2272,47.7,4,42,1,1015
0,21.1,2324,48.8,4,43,1,1016
0,12.2,2226,32.4,4,44,1,1017
0,6.1,1926,6.6,4,44,1,1018
0,10.4,1914,13.3,4,43,1,1019
0,18.3,2314,44.9,4,44,1,1020
0,13.6,2247,29.3,4,45,1,1021
0,31,2509,53.5,4,47,1,1022
0,13.2,2412,26.6,4,48,2,1023
0,9.9,2175,12.1,4,47,1,1024
0,16.9,2467,40.2,4,48,1,1025
0,7.1,2225,9.8,4,48,2,1026
0,7.5,1856,0.8,4,46,1,1027
0,7.1,2115,10.9,4,45,1,1028
0,8,1920,7.4,4,44,1,1029
0,16.9,2303,39.8,4,44,1,1030
0,19.7,2363,46.5,4,46,1,1031
0,22.6,2051,49.6,5,47,1,1032
0,7.1,1676,18.8,5,47,2,1033
0,6.1,1446,1.2,5,43,2,1034
0,5.7,1207,3.9,5,38,2,1035
0,6.6,963,13.7,5,35,1,1036
0,9.4,1152,23,5,34,1,1037
0,18.3,1908,44.9,4,35,1,1038
0,30.5,2089,53.5,4,37,1,1039
0,75.1,2028,57.4,4,40,1,1040
0,39.9,2084,54.7,4,43,1,1041
0,47.9,2188,54.3,4,45,1,1042
0,90.6,2331,57.8,4,48,1,1043
0,57.8,2467,59.8,4,51,1,1044
0,12.7,2320,28.5,4,53,1,1045
0,17.4,2028,37.1,5,53,1,1046
0,66.7,2199,55.5,5,55,1,1047
0,100,2047,58.6,5,57,1,1048
0,100,2034,59.4,5,58,1,1049
0,100,2088,57.4,5,60,1,1050
0,100,2156,55.9,5,62,1,1051
0,55.9,2211,43.8,5,64,1,1052
0,13.2,2047,26.6,6,64,1,1053
0,7.5,1750,19.9,6,63,2,1054
0,6.6,1599,2,6,61,2,1055
0,7.1,1589,0,6,59,1,1056
0,6.6,1481,12.9,6,58,1,1057
0,17.9,1850,41,6,58,1,1058
0,58.7,2191,55.1,6,59,1,1059
0,47.4,2115,44.5,6,61,1,1060
0,9.9,1708,24.6,6,61,1,1061
0,13.2,1712,29.3,6,61,1,1062
0,19.7,1735,44.1,6,61,1,1063
0,8.9,1642,16.4,6,61,1,1064
0,26.3,1778,50,6,61,1,1065
0,93,1712,56.3,6,63,1,1066
0,100,1712,56.3,6,64,1,1067
0,100,2351,59.4,5,65,1,1068
0,88.8,2603,60.5,5,67,1,1069
0,29.6,2505,43.8,5,68,1,1070
0,7.5,2018,5.9,6,68,1,1071
0,12.7,1878,26.2,6,68,1,1072
0,16,1822,40.2,6,68,1,1073
0,5.7,1718,6.6,6,67,1,1074
0,7.5,1726,0,6,66,2,1075
0,7.5,1674,0,6,64,1,1076
0,14.6,1759,32.4,6,63,1,1077
0,6.1,1674,14.1,6,63,2,1078
0,7.5,1628,10.9,6,61,1,1079
0,5.7,1575,7,6,60,2,1080
0,7.1,1566,6.6,6,59,1,1081
0,6.1,1533,11.7,6,58,2,1082
0,7.1,1491,6.3,6,57,1,1083
0,7.1,1681,16,5,56,1,1084
0,12.2,1976,23.8,5,55,1,1085
0,10.8,2004,26.2,5,55,1,1086
0,16,2022,38.3,5,55,1,1087
0,15,1956,39.8,5,56,1,1088
0,15,1962,37.5,5,57,1,1089
0,7.5,1963,17.6,5,57,1,1090
0,15,2027,32.8,5,57,1,1091
0,27.7,2031,50.4,5,58,1,1092
0,93,2066,57,5,60,1,1093
0,100,2128,56.3,5,62,1,1094
0,100,2193,55.9,5,64,1,1095
0,100,2259,56.6,5,66,1,1096
0,100,2321,59,5,67,1,1097
0,100,2379,60.2,5,69,1,1098
0,38.5,2447,39.8,5,70,1,1099
0,16.5,2191,28.1,6,70,1,1100
0,65.3,2335,55.5,6,70,1,1101
0,11.3,1933,23.4,6,70,1,1102
0,7.5,1792,1.6,6,69,1,1103
0,16.9,1905,36.7,6,68,1,1104
0,31.5,1891,49.2,6,69,1,1105
0,7.1,1811,11.7,6,68,1,1106
0,28.7,1950,46.5,6,68,1,1107
0,72.3,1897,52,6,69,1,1108
0,6.6,1812,9.8,6,69,1,1109
0,20.7,1933,41.8,6,69,1,1110
0,81.2,1908,57,6,70,1,1111
0,100,1889,58.6,6,71,1,1112
0,100,1916,59.4,6,72,1,1113
0,100,1938,62.1,6,73,1,1114
0,100,1959,62.1,6,73,1,1115
0,100,2150,61.7,6,74,1,1116
0,100,2853,64.8,5,75,1,1117
0,100,2873,64.5,5,76,1,1118
0,100,2741,64.5,5,78,1,1119
0,100,2735,64.8,5,79,1,1120
0,94.4,2771,63.7,5,80,1,1121
0,23.5,2711,48.4,5,81,1,1122
0,8.9,2160,7,6,80,2,1123
0,8.9,2037,3.1,6,76,2,1124
0,8,1906,3.5,6,72,2,1125
0,8,1816,0,6,68,1,1126
0,12.2,1822,28.1,6,67,1,1127
0,37.6,1842,54.3,6,67,1,1128
0,92.5,1812,57.8,6,68,1,1129
0,47,1827,55.1,6,68,1,1130
0,66.2,1842,52.7,6,69,1,1131
0,12.7,1892,27.3,6,69,1,1132
0,22.1,1934,50,6,69,1,1133
0,24.4,1879,52.3,6,69,1,1134
0,20.2,1858,41.8,6,70,1,1135
0,9.9,1851,16.4,6,69,1,1136
0,30.5,1944,52,6,68,1,1137
0,95.3,1870,59.4,6,69,1,1138
0,40.9,1834,35.5,6,69,2,1139
0,7.1,1738,2.3,6,66,2,1140
0,7.5,1667,0,6,63,2,1141
0,7.1,1599,0,6,61,1,1142
0,15,1773,34.8,6,59,1,1143
0,27.7,2165,55.1,6,59,1,1144
0,80.3,2251,56.6,6,59,1,1145
0,100,2284,57.8,6,60,1,1146
0,100,2287,58.2,6,61,1,1147
0,93.9,2286,57.4,6,62,1,1148
0,6.1,1634,15.6,6,61,2,1149
0,5.7,1126,9.8,6,57,1,1150
0,14.6,1777,32,5,54,1,1151
0,54,2132,55.1,5,54,1,1152
0,100,1955,59.4,5,55,1,1153
0,93,1921,60.2,5,55,1,1154
0,100,1944,60.2,5,56,1,1155
0,100,1971,61.7,5,57,1,1156
0,100,2253,62.1,5,58,1,1157
0,100,3114,67.6,4,59,1,1158
0,80.3,3208,66.4,4,62,1,1159
0,100,3331,70.7,4,64,1,1160
0,43.2,3397,62.9,4,66,1,1161
0,13.6,3214,25.4,4,67,1,1162
0,14.1,2479,17.6,5,66,1,1163
0,50.3,2537,57.4,5,66,1,1164
0,100,2884,66,5,66,1,1165
0,100,3491,72.7,4,68,1,1166
0,100,3509,73,4,70,1,1167
0,100,3566,73,4,73,1,1168
0,81.2,3644,69.1,4,76,1,1169
0,21.6,3692,41.4,4,77,1,1170
0,18.3,3062,33.2,5,76,1,1171
0,46,2875,59.8,5,77,1,1172
0,78.4,2916,58.6,5,77,1,1173
0,56.8,2900,57,5,78,1,1174
0,34.8,2790,41.8,5,78,1,1175
0,10.4,2610,14.1,5,77,1,1176
0,16,2720,36.7,5,76,1,1177
0,13.2,2627,26.2,5,74,1,1178
0,18.8,2699,44.9,5,74,1,1179
0,24,2691,44.5,5,73,1,1180
0,85.9,2817,62.5,5,74,1,1181
0,81.7,2861,63.3,5,75,1,1182
